Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	TP/FP/FN
1	Spectrogram 1	1	11.652518666	12.563533761	61	176.2	FN
2	Spectrogram 1	1	13.283871279	14.427936748	127.8	224.6	FN
1	Spectrogram 1	1	35.238372803	35.725860596	67	226	FP
2	Spectrogram 1	1	60.86630249	62.050201416	67	226	FP
3	Spectrogram 1	1	75.080465586	76.033853477	114	222.3	FN
3	Spectrogram 1	1	85.449615479	86.424591064	67	226	FP
4	Spectrogram 1	1	151.260467529	152.722930908	67	226	FP
4	Spectrogram 1	1	221.326254247	222.110150957	91	199.3	FN
5	Spectrogram 1	1	241.306427002	242.281402588	67	226	FP
5	Spectrogram 1	1	262.542327019	263.728765283	74.8	206.2	FN
6	Spectrogram 1	1	329.889923096	330.795257568	67	226	FP
7	Spectrogram 1	1	357.816009521	358.860626221	67	226	FP
8	Spectrogram 1	1	367.705047607	368.749664307	67	226	FP
6	Spectrogram 1	1	397.245717453	398.834697271	56.4	229.2	TP
7	Spectrogram 1	1	428.271132992	429.711808027	61	201.6	TP
8	Spectrogram 1	1	467.44065469	468.648279352	65.6	215.4	TP
9	Spectrogram 1	1	547.939377787	549.484829188	57.5	165.6	FN
10	Spectrogram 1	1	629.515134191	630.818161843	60.2	184.5	FN
12	Spectrogram 1	1	674.961639404	676.702667236	67	226	TP
12	Spectrogram 1	1	834.969652272	836.484800705	52.1	181.8	FN
13	Spectrogram 1	1	879.36361121	880.363609175	76.4	149.4	FN
14	Spectrogram 1	1	903.727252937	904.99997762	57.5	173.7	TP
15	Spectrogram 1	1	940.272688062	941.302988996	73.7	179.1	FN
14	Spectrogram 1	1	973.861297607	974.76663208	67	226	TP
15	Spectrogram 1	1	1004.781951904	1005.478363037	67	226	FP
16	Spectrogram 1	1	1052.903961182	1053.391448975	67	226	FP
17	Spectrogram 1	1	1110.090853974	1111.121154908	65.6	168.3	FN
18	Spectrogram 1	1	1146.060587627	1146.909070749	71	179.1	FN
19	Spectrogram 1	1	1173.666647	1175.060583558	57.5	165.6	FN
