Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	TP/FP/FN
1	Spectrogram 1	1	11.652518666	12.563533761	61	176.2	FN
2	Spectrogram 1	1	13.283871279	14.427936748	127.8	224.6	FN
3	Spectrogram 1	1	75.080465586	76.033853477	114	222.3	FN
4	Spectrogram 1	1	221.326254247	222.110150957	91	199.3	FN
1	Spectrogram 1	1	226.751434326	227.378204346	125	225	FP
5	Spectrogram 1	1	262.542327019	263.728765283	74.8	206.2	FN
2	Spectrogram 1	1	397.650726318	398.973907471	45	205	TP
7	Spectrogram 1	1	428.271132992	429.711808027	61	201.6	FN
3	Spectrogram 1	1	467.779327393	468.475738525	125	185	TP
9	Spectrogram 1	1	547.939377787	549.484829188	57.5	165.6	FN
10	Spectrogram 1	1	629.515134191	630.818161843	60.2	184.5	FN
11	Spectrogram 1	1	675.242368818	676.606002407	79.1	203.4	FN
4	Spectrogram 1	1	821.834747314	822.252593994	125	225	FP
12	Spectrogram 1	1	834.969652272	836.484800705	52.1	181.8	FN
13	Spectrogram 1	1	879.36361121	880.363609175	76.4	149.4	FN
14	Spectrogram 1	1	903.727252937	904.99997762	57.5	173.7	FN
15	Spectrogram 1	1	940.272688062	941.302988996	73.7	179.1	FN
16	Spectrogram 1	1	973.727220385	975.030248037	76.4	165.6	FN
17	Spectrogram 1	1	1110.090853974	1111.121154908	65.6	168.3	FN
18	Spectrogram 1	1	1146.060587627	1146.909070749	71	179.1	FN
5	Spectrogram 1	1	1155.206756592	1155.624603271	45	125	FP
19	Spectrogram 1	1	1173.666647	1175.060583558	57.5	165.6	FN
20	Spectrogram 1	1	1215.636313514	1216.999947103	46.7	184.5	FN
21	Spectrogram 1	1	1251.999985758	1253.484831222	57.5	189.9	FN
22	Spectrogram 1	1	1321.606014614	1323.121163046	62.9	154.8	FN
6	Spectrogram 1	1	1502.994476318	1503.342681885	105	145	FP
23	Spectrogram 1	1	1581.614450478	1583.671906903	71.3	166.3	FN
24	Spectrogram 1	1	1866.378090506	1868.240922675	46.4	198	FN
