Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	meantime	detectionType
6	Spectrogram 1	1	397.245717453	398.834697271	56.4	229.2	398.040207362	TP truth
8	Spectrogram 1	1	467.44065469	468.648279352	65.6	215.4	468.044467021	TP truth
26	Spectrogram 1	1	1942.679304885	1944.069478145	60	193.5	1943.374391515	TP truth
27	Spectrogram 1	1	1979.910980083	1981.301153344	69	184.4	1980.6060667135	TP truth
28	Spectrogram 1	1	2011.665372635	2012.555083521	55.4	152.7	2012.110228078	TP truth
31	Spectrogram 1	1	2143.189939483	2144.663523139	75.8	193.5	2143.926731311	TP truth
42	Spectrogram 1	1	2773.384563739	2774.635719674	69	218.3	2774.0101417065	TP truth
43	Spectrogram 1	1	2839.009247477	2840.065779155	71.3	198	2839.537513316	TP truth
45	Spectrogram 1	1	2947.287282129	2948.482831133	44.1	170.8	2947.885056631	TP truth
52	Spectrogram 1	1	3868.626472197	3870.23907318	80.3	213.8	3869.4327726885	TP truth
56	Spectrogram 1	1	3985.935084558	3987.408668214	69	184.4	3986.671876386	TP truth
59	Spectrogram 1	1	4347.739535554	4349.074101884	50.9	179.9	4348.406818719	TP truth
67	Spectrogram 1	1	4862.154738036	4863.211269715	62.2	211.6	4862.6830038755	TP truth
69	Spectrogram 1	1	5170.634794926	5171.496702348	69	218.3	5171.065748637	TP truth
75	Spectrogram 1	1	5627.101905349	5628.353061284	112	202.5	5627.7274833165	TP truth
76	Spectrogram 1	1	5697.658899401	5698.493003357	78.1	184.4	5698.075951379	TP truth
88	Spectrogram 1	1	7137.767339019	7139.074101884	71.3	193.5	7138.4207204515	TP truth
97	Spectrogram 1	1	8416.312311351	8417.368843029	75.8	157.3	8416.84057719	TP truth
125	Spectrogram 1	1	9553.462425649	9555.047223166	64.5	161.8	9554.2548244075	TP truth
146	Spectrogram 1	1	11052.375316263	11054.043524176	41.9	179.9	11053.2094202195	TP truth
155	Spectrogram 1	1	11454.430923193	11455.848899919	44.1	166.3	11455.139911556	TP truth
166	Spectrogram 1	1	12071.849824667	12072.739535554	123.3	204.8	12072.2946801105	TP truth
169	Spectrogram 1	1	12160.404044476	12161.099131106	103	222.9	12160.751587791	TP truth
170	Spectrogram 1	1	12163.184390997	12163.935084558	118.8	227.4	12163.5597377775	TP truth
181	Spectrogram 1	1	12625.818322211	12626.791443493	84.9	161.8	12626.304882852	TP truth
184	Spectrogram 1	1	12688.570865267	12689.460576154	112	198	12689.0157207105	TP truth
187	Spectrogram 1	1	12952.323408323	12953.324333071	118.8	191.2	12952.823870697	TP truth
197	Spectrogram 1	1	13651.404044476	13652.182541502	109.7	182.1	13651.793292989	TP truth
198	Spectrogram 1	1	13686.87855288	13687.823870697	109.7	193.5	13687.3512117885	TP truth
207	Spectrogram 1	1	14481.931385567	14482.709882593	69	177.6	14482.32063408	TP truth
222	Spectrogram 1	1	15700.545836045	15701.741385049	62.2	184.4	15701.143610547	TP truth
226	Spectrogram 1	1	16088.902657354	16090.515258337	80.3	186.7	16089.7089578455	TP truth
234	Spectrogram 1	1	16832.65520041	16834.184390997	75.8	188.9	16833.4197957035	TP truth
236	Spectrogram 1	1	16886.710807341	16887.87855288	82.6	195.7	16887.2946801105	TP truth
237	Spectrogram 1	1	16918.796067232	16919.991616236	80.3	177.6	16919.393841734	TP truth
