Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	TP/FP/FN
1	Spectrogram 1	1	11.652518666	12.563533761	61	176.2	TP
2	Spectrogram 1	1	13.283871279	14.427936748	127.8	224.6	FN
2	Spectrogram 1	1	75.212371826	75.560577393	135	180	TP
3	Spectrogram 1	1	126.886077881	127.373565674	105	150	FP
4	Spectrogram 1	1	131.552032471	132.039520264	90	180	FP
5	Spectrogram 1	1	135.173370361	136.009063721	45	120	FP
6	Spectrogram 1	1	151.260467529	151.817596436	75	120	FP
4	Spectrogram 1	1	221.326254247	222.110150957	91	199.3	FN
5	Spectrogram 1	1	262.542327019	263.728765283	74.8	206.2	FN
7	Spectrogram 1	1	311.08682251	311.504669189	45	90	FP
6	Spectrogram 1	1	397.245717453	398.834697271	56.4	229.2	TP
7	Spectrogram 1	1	428.271132992	429.711808027	61	201.6	TP
8	Spectrogram 1	1	467.44065469	468.648279352	65.6	215.4	TP
9	Spectrogram 1	1	547.939377787	549.484829188	57.5	165.6	FN
10	Spectrogram 1	1	629.515134191	630.818161843	60.2	184.5	FN
11	Spectrogram 1	1	675.242368818	676.606002407	79.1	203.4	FN
12	Spectrogram 1	1	834.969652272	836.484800705	52.1	181.8	FN
13	Spectrogram 1	1	879.36361121	880.363609175	76.4	149.4	FN
14	Spectrogram 1	1	903.727252937	904.99997762	57.5	173.7	FN
15	Spectrogram 1	1	940.272688062	941.302988996	73.7	179.1	FN
16	Spectrogram 1	1	973.727220385	975.030248037	76.4	165.6	FN
17	Spectrogram 1	1	1110.090853974	1111.121154908	65.6	168.3	FN
18	Spectrogram 1	1	1146.060587627	1146.909070749	71	179.1	TP
19	Spectrogram 1	1	1173.666647	1175.060583558	57.5	165.6	FN
20	Spectrogram 1	1	1215.636313514	1216.999947103	46.7	184.5	FN
21	Spectrogram 1	1	1251.999985758	1253.484831222	57.5	189.9	FN
22	Spectrogram 1	1	1321.606014614	1323.121163046	62.9	154.8	FN
23	Spectrogram 1	1	1581.614450478	1583.671906903	71.3	166.3	FN
24	Spectrogram 1	1	1866.378090506	1868.240922675	46.4	198	TP
25	Spectrogram 1	1	1899.884101366	1901.357685022	69	209.3	FN
26	Spectrogram 1	1	1942.679304885	1944.069478145	60	193.5	TP
27	Spectrogram 1	1	1979.910980083	1981.301153344	69	184.4	TP
28	Spectrogram 1	1	2011.665372635	2012.555083521	55.4	152.7	FN
29	Spectrogram 1	1	2037.831268678	2039.277048869	48.7	209.3	FN
30	Spectrogram 1	1	2100.397571242	2101.954565294	64.5	182.1	TP
31	Spectrogram 1	1	2143.189939483	2144.663523139	75.8	193.5	TP
32	Spectrogram 1	1	2183.343813807	2184.567166276	69	170.8	TP
33	Spectrogram 1	1	2218.017570206	2219.129708814	69	207	TP
34	Spectrogram 1	1	2248.520806823	2249.660748896	69	195.7	FN
35	Spectrogram 1	1	2291.260403411	2292.233524694	75.8	179.9	FN
36	Spectrogram 1	1	2330.966587014	2331.939708296	62.2	157.3	FN
37	Spectrogram 1	1	2385.772887505	2386.857222648	57.7	164	TP
38	Spectrogram 1	1	2436.797916727	2437.993465731	55.4	161.8	FN
20	Spectrogram 1	1	2515.994110107	2516.411956787	150	195	FP
39	Spectrogram 1	1	2588.927686576	2591.040749933	73.5	218.3	FN
40	Spectrogram 1	1	2633.129708814	2635.353986031	71.3	191.2	FN
41	Spectrogram 1	1	2702.841501938	2704.259478664	64.5	177.6	FN
21	Spectrogram 1	1	2773.318023682	2774.501922607	60	210	TP
43	Spectrogram 1	1	2839.009247477	2840.065779155	71.3	198	FN
44	Spectrogram 1	1	2880.022193944	2881.301153344	60	204.8	FN
22	Spectrogram 1	1	2880.843902588	2881.192108154	135	180	TP
23	Spectrogram 1	1	2947.211883545	2948.117218018	60	135	TP
46	Spectrogram 1	1	2979.931385567	2981.293755362	64.5	200.2	FN
47	Spectrogram 1	1	3127.723814843	3129.475433152	69	152.7	FN
48	Spectrogram 1	1	3476.71913007	3478.10930333	71.3	184.4	FN
49	Spectrogram 1	1	3747.163985513	3748.581962239	73.5	241	FN
50	Spectrogram 1	1	3813.23907318	3814.239997927	91.6	182.1	FN
51	Spectrogram 1	1	3833.958264285	3834.931385567	105.2	186.7	FN
52	Spectrogram 1	1	3868.626472197	3870.23907318	80.3	213.8	FN
24	Spectrogram 1	1	3900.041595459	3900.738006592	90	165	TP
54	Spectrogram 1	1	3924.155662784	3925.128784067	78.1	168.6	FN
55	Spectrogram 1	1	3969.936934053	3971.104679592	55.4	170.8	FN
56	Spectrogram 1	1	3985.935084558	3987.408668214	69	184.4	TP
57	Spectrogram 1	1	4093.045373671	4094.352136536	71.3	173.1	FN
58	Spectrogram 1	1	4323.344738555	4324.345663302	55.4	166.3	FN
59	Spectrogram 1	1	4347.739535554	4349.074101884	50.9	179.9	FN
60	Spectrogram 1	1	4381.737686058	4382.988841993	80.3	193.5	FN
61	Spectrogram 1	1	4403.327107314	4403.994390479	73.5	161.8	FN
62	Spectrogram 1	1	4577.263177654	4578.180692006	89.4	170.8	FN
63	Spectrogram 1	1	4612.045373671	4613.046298419	93.9	188.9	FN
64	Spectrogram 1	1	4700.518957327	4701.297454353	64.5	159.5	FN
65	Spectrogram 1	1	4793.488379619	4794.461500901	103	193.5	FN
66	Spectrogram 1	1	4809.98976674	4810.879477627	71.3	148.2	FN
67	Spectrogram 1	1	4862.154738036	4863.211269715	62.2	211.6	FN
26	Spectrogram 1	1	4927.526580811	4927.94442749	135	180	FP
68	Spectrogram 1	1	5158.568091024	5159.708033098	69	236.4	FN
27	Spectrogram 1	1	5170.852630615	5171.270477295	135	195	TP
70	Spectrogram 1	1	5246.513408841	5247.291905867	91.6	191.2	FN
71	Spectrogram 1	1	5270.961038528	5272.295604858	64.5	186.7	FN
28	Spectrogram 1	1	5285.621185303	5286.108673096	105	150	TP
73	Spectrogram 1	1	5542.070402893	5542.932310315	69	170.8	FN
74	Spectrogram 1	1	5590.823870697	5591.657974653	78.1	213.8	FN
75	Spectrogram 1	1	5627.101905349	5628.353061284	112	202.5	FN
76	Spectrogram 1	1	5697.658899401	5698.493003357	78.1	184.4	TP
77	Spectrogram 1	1	5934.378090506	5935.601442975	60	148.2	FN
78	Spectrogram 1	1	5970.211269715	5971.768263766	82.6	184.4	FN
79	Spectrogram 1	1	6012.322483575	6013.434622184	89.4	186.7	FN
80	Spectrogram 1	1	6111.322483575	6112.601442975	55.4	166.3	FN
81	Spectrogram 1	1	6162.925837081	6164.010172224	105.2	227.4	FN
30	Spectrogram 1	1	6254.259429932	6254.607635498	45	90	FP
31	Spectrogram 1	1	6559.705352783	6560.610687256	90	165	TP
83	Spectrogram 1	1	6638.321558828	6639.211269715	69	168.6	TP
84	Spectrogram 1	1	6707.874853889	6708.792368241	69	152.7	FN
85	Spectrogram 1	1	6990.072252388	6991.712656836	66.8	173.1	FN
33	Spectrogram 1	1	6991.132049561	6991.619537354	105	165	TP
86	Spectrogram 1	1	7060.823870697	7062.241847423	57.7	170.8	FN
87	Spectrogram 1	1	7079.766414271	7081.239997927	62.2	170.8	FN
88	Spectrogram 1	1	7137.767339019	7139.074101884	71.3	193.5	TP
89	Spectrogram 1	1	7319.735836563	7320.542137054	105.2	195.7	FN
90	Spectrogram 1	1	7572.850749414	7573.740460301	73.5	175.4	FN
91	Spectrogram 1	1	7621.126009824	7622.210344967	71.3	136.9	FN
92	Spectrogram 1	1	7700.657974653	7701.436471679	48.7	132.4	FN
93	Spectrogram 1	1	7841.877628132	7843.295604858	35.1	132.4	FN
35	Spectrogram 1	1	7949.115203857	7949.672332764	135	225	FP
36	Spectrogram 1	1	8008.031585693	8008.936920166	60	135	TP
37	Spectrogram 1	1	8041.528961182	8042.295013428	75	135	FP
38	Spectrogram 1	1	8120.153778076	8120.571624756	165	210	FP
39	Spectrogram 1	1	8130.808868408	8131.296356201	165	210	FP
40	Spectrogram 1	1	8139.096160889	8139.862213135	180	225	FP
