Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)	Mooring
1	Waveform 1	1	3.008468456	3.855924358	56.4	360.6	AU-AWBS03_20141105_013730.wav	3.008	AW14_AU_BS3
1	Spectrogram 1	1	3.008468456	3.855924358	56.4	360.6	AU-AWBS03_20141105_013730.wav	3.008	AW14_AU_BS3
2	Waveform 1	1	8.177949464	8.813541391	38.0	459.6	AU-AWBS03_20141105_013730.wav	8.178	AW14_AU_BS3
2	Spectrogram 1	1	8.177949464	8.813541391	38.0	459.6	AU-AWBS03_20141105_013730.wav	8.178	AW14_AU_BS3
3	Waveform 1	1	12.817770532	13.220312086	44.9	293.7	AU-AWBS03_20141105_013730.wav	12.818	AW14_AU_BS3
3	Spectrogram 1	1	12.817770532	13.220312086	44.9	293.7	AU-AWBS03_20141105_013730.wav	12.818	AW14_AU_BS3
4	Waveform 1	1	13.220312086	14.322004760	40.3	362.9	AU-AWBS03_20141105_013730.wav	13.220	AW14_AU_BS3
4	Spectrogram 1	1	13.220312086	14.322004760	40.3	362.9	AU-AWBS03_20141105_013730.wav	13.220	AW14_AU_BS3
5	Waveform 1	1	17.733014769	18.156742721	194.7	510.3	AU-AWBS03_20141105_013730.wav	17.733	AW14_AU_BS3
5	Spectrogram 1	1	17.733014769	18.156742721	194.7	510.3	AU-AWBS03_20141105_013730.wav	17.733	AW14_AU_BS3
6	Waveform 1	1	18.347420299	19.067757817	84.1	445.8	AU-AWBS03_20141105_013730.wav	18.348	AW14_AU_BS3
6	Spectrogram 1	1	18.347420299	19.067757817	84.1	445.8	AU-AWBS03_20141105_013730.wav	18.348	AW14_AU_BS3
7	Waveform 1	1	22.838936585	23.220291741	35.7	496.5	AU-AWBS03_20141105_013730.wav	22.839	AW14_AU_BS3
7	Spectrogram 1	1	22.838936585	23.220291741	35.7	496.5	AU-AWBS03_20141105_013730.wav	22.839	AW14_AU_BS3
