Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	TP/FP/FN
1	Spectrogram 1	1	22.309276645	23.029614163	88.7	180.8	FN
1	Spectrogram 1	1	160.313812256	160.801300049	135	210	FP
2	Spectrogram 1	1	316.797393799	318.050933838	105	210	TP
3	Spectrogram 1	1	364.050820906	365.491495941	86.4	226.9	FN
3	Spectrogram 1	1	408.862945557	409.628997803	90	165	FP
4	Spectrogram 1	1	419.830478302	421.165221349	114	240.7	FN
5	Spectrogram 1	1	446.279631965	447.741493398	81.7	217.7	FN
6	Spectrogram 1	1	522.300828535	523.487266799	58.7	199.3	TP
7	Spectrogram 1	1	556.313526132	557.81776036	58.7	190	FN
8	Spectrogram 1	1	577.04235245	578.483027485	65.6	194.7	FN
9	Spectrogram 1	1	607.262684881	608.555055133	63.3	176.2	FN
10	Spectrogram 1	1	720.410979492	721.38555378	56.4	162.4	FN
11	Spectrogram 1	1	744.593188614	746.139795637	63.3	160.1	FN
12	Spectrogram 1	1	915.838926412	917.406719833	61	187.7	FN
13	Spectrogram 1	1	1156.042321933	1158.118588895	47.2	215.4	TP
14	Spectrogram 1	1	1180.766939454	1182.567783248	72.5	203.9	FN
15	Spectrogram 1	1	1199.177918946	1200.745712366	56.4	173.9	FN
16	Spectrogram 1	1	1488.910984578	1490.20335483	54.1	199.3	FN
17	Spectrogram 1	1	1522.758440481	1524.156742721	88.7	206.2	FN
18	Spectrogram 1	1	1562.88135007	1564.27965231	74.8	208.5	FN
19	Spectrogram 1	1	1782.648279352	1784.32200476	44.9	194.7	FN
20	Spectrogram 1	1	1832.940604301	1833.99992418	72.5	194.7	FN
21	Spectrogram 1	1	2091.915148072	2093.059213541	58.7	222.3	FN
22	Spectrogram 1	1	2338.351593966	2339.304981857	70.2	206.2	FN
6	Spectrogram 1	1	2366.404998779	2367.240692139	75	135	FP
23	Spectrogram 1	1	2373.665160788	2374.533803089	65.6	183.1	FN
24	Spectrogram 1	1	2380.0549844	2380.965999496	79.4	185.4	FN
25	Spectrogram 1	1	2393.474503555	2394.152468277	79.4	178.5	FN
26	Spectrogram 1	1	2542.309221171	2544.088878567	70.2	208.5	FN
27	Spectrogram 1	1	2576.012652295	2577.156717764	79.4	192.3	FN
28	Spectrogram 1	1	2617.703324787	2618.593153485	77.1	164.7	FN
29	Spectrogram 1	1	2685.008382463	2685.982956752	88.7	224.6	FN
30	Spectrogram 1	1	2718.978707265	2720.355823107	81.7	256.9	FN
31	Spectrogram 1	1	2762.27957649	2763.190591586	79.4	167	FN
32	Spectrogram 1	1	2793.855838366	2795.127022221	63.3	153.2	FN
33	Spectrogram 1	1	2825.940573784	2826.724470494	51.8	153.2	FN
34	Spectrogram 1	1	3213.716032556	3214.987216411	95.6	201.6	FN
35	Spectrogram 1	1	3267.059254231	3268.2033197	97.9	220	FN
36	Spectrogram 1	1	3269.940604301	3271.105856168	91	167	FN
37	Spectrogram 1	1	3311.050745086	3311.749896206	74.8	157.8	FN
38	Spectrogram 1	1	3312.491420121	3313.381248819	77.1	155.5	FN
39	Spectrogram 1	1	3326.716022384	3327.88127425	74.8	192.3	FN
40	Spectrogram 1	1	3526.682107872	3527.762614148	100.2	190	FN
41	Spectrogram 1	1	3673.788070377	3674.783831063	95.6	201.6	FN
42	Spectrogram 1	1	3726.516886523	3727.406715221	93.3	192.3	FN
7	Spectrogram 1	1	3788.546173096	3789.103302002	105	165	TP
44	Spectrogram 1	1	3816.321959458	3816.978737783	91	185.4	FN
45	Spectrogram 1	1	3979.207569187	3980.563498632	91	190	FN
46	Spectrogram 1	1	4197.940614474	4199.571967087	72.5	201.6	FN
47	Spectrogram 1	1	4218.999893663	4219.995654349	91	213.1	FN
48	Spectrogram 1	1	4237.334657055	4238.097367368	79.4	199.3	FN
49	Spectrogram 1	1	4498.139760508	4499.410944362	74.8	197	TP
50	Spectrogram 1	1	4516.084639253	4516.868535963	70.2	185.4	FN
51	Spectrogram 1	1	4585.813475744	4586.89398202	148.6	236.1	FN
52	Spectrogram 1	1	4662.321959458	4662.893992192	91	178.5	TP
53	Spectrogram 1	1	4863.610070051	4864.584644339	72.5	201.6	TP
54	Spectrogram 1	1	4894.910908758	4896.330397396	74.8	222.3	FN
11	Spectrogram 1	1	5155.601226807	5156.367279053	90	180	TP
12	Spectrogram 1	1	5210.199859619	5210.965911865	60	120	TP
57	Spectrogram 1	1	5235.114314451	5235.982956752	79.4	180.8	FN
58	Spectrogram 1	1	5273.203329873	5273.92366739	72.5	167	FN
13	Spectrogram 1	1	5470.309417725	5470.866546631	75	165	TP
60	Spectrogram 1	1	5488.737229126	5489.690617017	70.2	192.3	FN
61	Spectrogram 1	1	5770.071951828	5771.533813261	77.1	203.9	FN
62	Spectrogram 1	1	5958.521105492	5959.686357358	72.5	176.2	FN
63	Spectrogram 1	1	6095.321949285	6096.508387549	67.9	187.7	FN
14	Spectrogram 1	1	6129.044708252	6129.950042725	120	180	TP
65	Spectrogram 1	1	6411.355863797	6412.542302062	63.3	180.8	FN
66	Spectrogram 1	1	6433.292314777	6433.843161114	70.2	171.6	FN
67	Spectrogram 1	1	6500.999914008	6501.889742706	72.5	201.6	FN
68	Spectrogram 1	1	6512.33463671	6513.393956588	63.3	222.3	FN
69	Spectrogram 1	1	6528.220276957	6529.512647209	61	144	FN
70	Spectrogram 1	1	6549.449047326	6550.465994409	84.1	167	FN
71	Spectrogram 1	1	6788.249921637	6789.224495925	65.6	213.1	FN
72	Spectrogram 1	1	6899.461785613	6900.754155865	63.3	167	FN
73	Spectrogram 1	1	6916.949093102	6918.177904161	74.8	185.4	FN
74	Spectrogram 1	1	7162.406684703	7163.444818184	65.6	187.7	TP
75	Spectrogram 1	1	7200.135531366	7201.999934353	67.9	206.2	FN
76	Spectrogram 1	1	7248.639724904	7249.465994409	77.1	164.7	FN
77	Spectrogram 1	1	7324.385498305	7325.148208618	79.4	146.3	FN
78	Spectrogram 1	1	7460.953291726	7461.800747629	58.7	176.2	FN
79	Spectrogram 1	1	7551.071972173	7552.385528823	77.1	215.4	FN
80	Spectrogram 1	1	7588.071951828	7589.11008531	70.2	155.5	FN
81	Spectrogram 1	1	7847.902480993	7849.046546462	72.5	176.2	FN
82	Spectrogram 1	1	7923.23718335	7924.063452855	84.1	197	FN
83	Spectrogram 1	1	7951.275316831	7951.995654349	58.7	164.7	FN
16	Spectrogram 1	1	7959.213165283	7960.188140869	90	195	TP
85	Spectrogram 1	1	8000.847359738	8002.542271544	67.9	220	FN
86	Spectrogram 1	1	8021.838891283	8022.771092776	77.1	224.6	FN
87	Spectrogram 1	1	8055.639724904	8056.762603975	70.2	190	FN
88	Spectrogram 1	1	8085.550790862	8086.588924343	74.8	190	FN
89	Spectrogram 1	1	8107.160916388	8107.902440303	91	178.5	FN
90	Spectrogram 1	1	8231.885513564	8233.305002202	65.6	229.2	FN
91	Spectrogram 1	1	8280.080440629	8281.11857411	63.3	180.8	TP
18	Spectrogram 1	1	8301.290313721	8302.613494873	75	150	TP
19	Spectrogram 1	1	8390.8487854	8391.47555542	105	180	TP
94	Spectrogram 1	1	8399.902450475	8400.5592288	81.7	190	FN
95	Spectrogram 1	1	8601.135531366	8601.855868884	58.7	190	FN
96	Spectrogram 1	1	8685.970269327	8686.796538832	95.6	171.6	FN
97	Spectrogram 1	1	8717.906699962	8718.754155865	67.9	192.3	FN
98	Spectrogram 1	1	9098.576186056	9099.826183513	86.4	206.2	FN
99	Spectrogram 1	1	9123.601632113	9124.894002365	97.9	220	FN
100	Spectrogram 1	1	9336.627037479	9337.686357358	102.5	194.7	FN
102	Spectrogram 1	1	9411.016881436	9411.94908293	104.8	215.4	FN
101	Spectrogram 1	1	9446.97872761	9448.038047489	97.9	192.3	FN
103	Spectrogram 1	1	9535.309221171	9536.728709808	102.5	192.3	FN
104	Spectrogram 1	1	9559.470243896	9560.190581413	77.1	201.6	FN
105	Spectrogram 1	1	9604.487211324	9605.821954372	102.5	192.3	FN
106	Spectrogram 1	1	9910.813506261	9912.04231732	63.3	180.8	FN
107	Spectrogram 1	1	9946.90247082	9948.321959458	74.8	173.9	FN
108	Spectrogram 1	1	10098.084659598	10098.868556308	58.7	167	FN
109	Spectrogram 1	1	10312.855848539	10314.021100405	95.6	208.5	FN
20	Spectrogram 1	1	10424.160369873	10425.065704346	75	135	FP
110	Spectrogram 1	1	10494.241432836	10495.131261535	74.8	176.2	FN
111	Spectrogram 1	1	10567.063483373	10567.953312071	88.7	167	FN
112	Spectrogram 1	1	10877.855828194	10878.597352109	86.4	167	FN
113	Spectrogram 1	1	10936.165196392	10936.949093102	81.7	155.5	FN
114	Spectrogram 1	1	10941.843150942	10942.711793242	79.4	183.1	FN
115	Spectrogram 1	1	10965.940614474	10966.85162957	72.5	150.9	FN
116	Spectrogram 1	1	11126.499939439	11127.601632113	74.8	148.6	FN
117	Spectrogram 1	1	11221.970248982	11222.648213704	77.1	141.7	FN
118	Spectrogram 1	1	11287.631297138	11288.860108198	84.1	185.4	FN
119	Spectrogram 1	1	11328.487201152	11329.440589043	74.8	187.7	FN
120	Spectrogram 1	1	11481.143999822	11482.11857411	79.4	155.5	FN
121	Spectrogram 1	1	11522.466004582	11523.504138063	88.7	164.7	FN
122	Spectrogram 1	1	11556.054974227	11556.648193359	88.7	155.5	FN
123	Spectrogram 1	1	11720.966040186	11722.194851245	63.3	180.8	FN
124	Spectrogram 1	1	11764.025329547	11765.084649425	74.8	155.5	TP
125	Spectrogram 1	1	11791.131261535	11792.127022221	70.2	134.7	FN
126	Spectrogram 1	1	12053.016871264	12054.18212313	74.8	160.1	FN
127	Spectrogram 1	1	12163.529553602	12164.4193823	79.4	167	FN
128	Spectrogram 1	1	12215.982946579	12216.491420121	95.6	157.8	FN
129	Spectrogram 1	1	12254.220266784	12255.004163494	88.7	155.5	FN
130	Spectrogram 1	1	12392.631276793	12393.415173504	79.4	150.9	FN
131	Spectrogram 1	1	12408.805027633	12409.44061956	88.7	167	FN
132	Spectrogram 1	1	12426.262619234	12427.088888739	100.2	160.1	TP
133	Spectrogram 1	1	12462.974518814	12463.673669934	77.1	160.1	FN
134	Spectrogram 1	1	12549.588914171	12550.266878893	79.4	155.5	FN
135	Spectrogram 1	1	12587.309231343	12588.114314451	79.4	146.3	FN
136	Spectrogram 1	1	12680.966040186	12681.686377703	91	164.7	FN
137	Spectrogram 1	1	12938.351604138	12938.966009668	77.1	144	FN
