Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	TP/FP/FN
1	Spectrogram 1	1	18.176300049	19.011993408	165	235	FP
2	Spectrogram 1	1	20.683380127	21.5887146	65	105	FP
1	Spectrogram 1	1	22.309276645	23.029614163	88.7	180.8	FN
3	Spectrogram 1	1	28.204620361	29.318878174	125	155	FP
4	Spectrogram 1	1	45.823822021	46.241668701	155	185	FP
5	Spectrogram 1	1	65.95010376	66.716156006	175	225	FP
6	Spectrogram 1	1	69.362518311	69.850006104	65	115	FP
7	Spectrogram 1	1	92.204803467	92.9012146	145	225	FP
8	Spectrogram 1	1	141.232147217	141.580352783	115	135	FP
9	Spectrogram 1	1	208.7840271	209.689361572	105	195	FP
10	Spectrogram 1	1	223.756866455	224.383636475	75	125	FP
11	Spectrogram 1	1	239.77432251	240.331451416	155	245	FP
12	Spectrogram 1	1	265.611175537	266.30758667	145	225	FP
13	Spectrogram 1	1	266.795074463	267.561126709	65	105	FP
2	Spectrogram 1	1	316.936400117	318.186397574	102.5	243	FN
14	Spectrogram 1	1	336.923675537	337.689727783	185	245	FP
3	Spectrogram 1	1	364.050820906	365.491495941	86.4	226.9	FN
15	Spectrogram 1	1	392.218719482	392.915130615	125	145	FP
4	Spectrogram 1	1	419.830478302	421.165221349	114	240.7	FN
16	Spectrogram 1	1	423.000091553	424.114349365	155	225	FP
5	Spectrogram 1	1	446.279631965	447.741493398	81.7	217.7	FN
17	Spectrogram 1	1	459.979522705	460.745574951	155	215	FP
6	Spectrogram 1	1	522.300828535	523.487266799	58.7	199.3	FN
18	Spectrogram 1	1	523.770782471	524.258270264	75	105	FP
19	Spectrogram 1	1	538.952545166	539.857879639	145	185	FP
20	Spectrogram 1	1	548.145172119	549.189788818	125	155	FP
7	Spectrogram 1	1	556.313526132	557.81776036	58.7	190	FN
8	Spectrogram 1	1	577.04235245	578.483027485	65.6	194.7	FN
21	Spectrogram 1	1	580.319366455	581.433624268	115	175	FP
22	Spectrogram 1	1	592.297637939	592.994049072	145	205	FP
9	Spectrogram 1	1	607.262684881	608.555055133	63.3	176.2	FN
23	Spectrogram 1	1	666.604705811	667.092193604	165	205	FP
24	Spectrogram 1	1	708.180450439	709.085784912	125	195	FP
10	Spectrogram 1	1	720.410979492	721.38555378	56.4	162.4	FN
11	Spectrogram 1	1	744.593188614	746.139795637	63.3	160.1	FN
25	Spectrogram 1	1	779.701873779	780.746490479	145	215	FP
26	Spectrogram 1	1	811.597503662	812.084991455	115	175	FP
27	Spectrogram 1	1	812.293914795	812.851043701	145	215	FP
28	Spectrogram 1	1	908.189727783	908.746856689	125	165	FP
12	Spectrogram 1	1	915.838926412	917.406719833	61	187.7	FN
29	Spectrogram 1	1	927.341033936	927.758880615	165	225	FP
30	Spectrogram 1	1	943.56741333	944.333465576	155	235	FP
31	Spectrogram 1	1	1029.156341553	1029.783111572	215	245	FP
32	Spectrogram 1	1	1065.439361572	1066.275054932	115	165	FP
13	Spectrogram 1	1	1156.042321933	1158.118588895	47.2	215.4	FN
33	Spectrogram 1	1	1157.156707764	1157.783477783	145	165	TP
14	Spectrogram 1	1	1180.766939454	1182.567783248	72.5	203.9	FN
15	Spectrogram 1	1	1199.177918946	1200.745712366	56.4	173.9	FN
34	Spectrogram 1	1	1222.828277588	1223.524688721	165	195	FP
35	Spectrogram 1	1	1253.261444092	1253.818572998	95	125	FP
36	Spectrogram 1	1	1319.350860596	1319.907989502	175	245	FP
37	Spectrogram 1	1	1461.558013916	1462.115142822	135	185	FP
38	Spectrogram 1	1	1479.177215576	1480.012908936	105	125	FP
16	Spectrogram 1	1	1488.910984578	1490.20335483	54.1	199.3	TP
17	Spectrogram 1	1	1522.758440481	1524.156742721	88.7	206.2	FN
40	Spectrogram 1	1	1559.334136963	1559.891265869	75	95	FP
18	Spectrogram 1	1	1562.88135007	1564.27965231	74.8	208.5	TP
42	Spectrogram 1	1	1578.764007568	1579.181854248	215	245	FP
43	Spectrogram 1	1	1625.91104126	1626.468170166	165	235	FP
44	Spectrogram 1	1	1662.402984619	1663.029754639	95	145	FP
45	Spectrogram 1	1	1675.774078369	1676.191925049	165	195	FP
46	Spectrogram 1	1	1682.947113037	1683.713165283	175	225	FP
47	Spectrogram 1	1	1698.407440186	1698.964569092	175	215	FP
19	Spectrogram 1	1	1782.648279352	1784.32200476	44.9	194.7	FN
48	Spectrogram 1	1	1818.399078369	1818.677642822	215	235	FP
49	Spectrogram 1	1	1821.324005127	1822.090057373	85	125	FP
50	Spectrogram 1	1	1827.243499756	1827.661346436	185	215	FP
20	Spectrogram 1	1	1832.940604301	1833.99992418	72.5	194.7	FN
51	Spectrogram 1	1	1857.04989624	1857.537384033	105	125	FP
52	Spectrogram 1	1	1912.344940186	1912.832427979	125	175	FP
53	Spectrogram 1	1	1916.314483643	1917.080535889	95	165	FP
54	Spectrogram 1	1	1934.699737549	1935.256866455	75	135	FP
55	Spectrogram 1	1	1957.193817139	1957.890228271	75	95	FP
56	Spectrogram 1	1	1974.604095459	1975.439788818	185	235	FP
57	Spectrogram 1	1	1986.234161377	1986.93057251	85	135	FP
58	Spectrogram 1	1	1990.621551514	1991.735809326	105	175	FP
59	Spectrogram 1	1	2027.879547119	2028.575958252	175	245	FP
21	Spectrogram 1	1	2091.915148072	2093.059213541	58.7	222.3	FN
60	Spectrogram 1	1	2123.218231201	2123.566436768	85	105	FP
61	Spectrogram 1	1	2140.071380615	2140.907073975	185	215	FP
62	Spectrogram 1	1	2182.20425415	2183.03994751	55	85	FP
63	Spectrogram 1	1	2253.098907471	2254.004241943	115	215	FP
64	Spectrogram 1	1	2265.146820068	2265.495025635	155	225	FP
65	Spectrogram 1	1	2269.603851318	2270.021697998	95	115	FP
66	Spectrogram 1	1	2286.178436279	2287.292694092	85	125	FP
67	Spectrogram 1	1	2291.262237549	2292.097930908	45	135	FP
68	Spectrogram 1	1	2295.510345459	2296.067474365	55	105	FP
22	Spectrogram 1	1	2338.351593966	2339.304981857	70.2	206.2	FN
23	Spectrogram 1	1	2373.665160788	2374.533803089	65.6	183.1	TP
24	Spectrogram 1	1	2380.0549844	2380.965999496	79.4	185.4	FN
25	Spectrogram 1	1	2393.474503555	2394.152468277	79.4	178.5	FN
70	Spectrogram 1	1	2500.046295166	2501.090911865	175	205	FP
71	Spectrogram 1	1	2534.170440674	2534.866851807	145	245	FP
26	Spectrogram 1	1	2542.309221171	2544.088878567	70.2	208.5	FN
72	Spectrogram 1	1	2550.118255615	2550.884307861	115	165	FP
27	Spectrogram 1	1	2576.012652295	2577.156717764	79.4	192.3	FN
73	Spectrogram 1	1	2593.713592529	2594.201080322	165	235	FP
74	Spectrogram 1	1	2606.806121826	2607.502532959	115	185	FP
